Gene,Score_gda,EI_gda,ensembl
GSTM4,0.01,1.0,ENSG00000168765
MSH6,0.3,1.0,ENSG00000116062
USP25,0.01,1.0,ENSG00000155313
OLA1,0.01,1.0,ENSG00000138430
ICOS,0.01,1.0,ENSG00000163600
GUK1,0.01,1.0,ENSG00000143774
GUSB,0.01,1.0,ENSG00000169919
EEF2K,0.01,1.0,ENSG00000103319
RMC1,0.01,1.0,ENSG00000141452
MRM2,0.01,1.0,ENSG00000122687
LRP12,0.01,1.0,ENSG00000147650
PSAT1,0.31,1.0,ENSG00000135069
UBQLN1,0.02,1.0,ENSG00000135018
TBX21,0.01,1.0,ENSG00000073861
GZMB,0.02,1.0,ENSG00000100453
ANXA1,0.33,1.0,ENSG00000135046
HSD17B10,0.3,1.0,ENSG00000072506
HDAC1,0.04,1.0,ENSG00000116478
HDAC2,0.01,1.0,ENSG00000196591
HDGF,0.01,1.0,ENSG00000143321
HELLS,0.31,1.0,ENSG00000119969
CFH,0.01,1.0,ENSG00000000971
ANXA5,0.32,1.0,ENSG00000164111
HGF,0.1,1.0,ENSG00000019991
ZNRD1,0.1,1.0,ENSG00000066379
NRG1,0.18,0.9,ENSG00000157168
ANXA6,0.01,1.0,ENSG00000197043
HIC1,0.01,1.0,ENSG00000177374
HIF1A,0.1,1.0,ENSG00000100644
HIP1,0.01,1.0,ENSG00000127946
HK1,0.3,1.0,ENSG00000156515
HK2,0.3,1.0,ENSG00000159399
HLA-A,0.11,1.0,ENSG00000206503
HLA-B,0.1,1.0,ENSG00000234745
HLA-DQA1,0.1,1.0,ENSG00000196735
HLA-DQA2,0.1,1.0,ENSG00000237541
HLA-DQB1,0.01,1.0,ENSG00000179344
HMGB1,0.03,1.0,ENSG00000189403
HMGB2,0.3,1.0,ENSG00000164104
HMGB3,0.01,1.0,ENSG00000029993
HMMR,0.03,1.0,ENSG00000072571
HMOX1,0.04,1.0,ENSG00000100292
FOXA1,0.03,1.0,ENSG00000129514
APAF1,0.01,1.0,ENSG00000120868
FOXA2,0.04,1.0,ENSG00000125798
HNRNPA1,0.31,1.0,ENSG00000135486
HNRNPD,0.01,1.0,ENSG00000138668
HNRNPK,0.01,1.0,ENSG00000165119
HOXA3,0.01,1.0,ENSG00000105997
HOXA4,0.01,1.0,ENSG00000197576
HOXA5,0.01,1.0,ENSG00000106004
HOXB2,0.02,1.0,ENSG00000173917
HOXB3,0.02,1.0,ENSG00000120093
HOXB4,0.01,1.0,ENSG00000182742
HOXB7,0.02,1.0,ENSG00000260027
APC,0.41,1.0,ENSG00000134982
HP,0.01,1.0,ENSG00000257017
HPRT1,0.01,1.0,ENSG00000165704
HRAS,0.5,0.9229999999999999,ENSG00000174775
APEX1,0.35,1.0,ENSG00000100823
HSPA1A,0.01,1.0,ENSG00000204389
HSPA1B,0.01,1.0,ENSG00000204388
HSPA4,0.02,1.0,ENSG00000170606
HSPA5,0.03,1.0,ENSG00000044574
XIAP,0.02,1.0,ENSG00000101966
HSPA8,0.01,1.0,ENSG00000109971
HSPB1,0.33,1.0,ENSG00000106211
HSPB2,0.02,1.0,ENSG00000170276
BIRC5,0.03,1.0,ENSG00000089685
HSP90AA1,0.06,1.0,ENSG00000080824
HSPD1,0.01,1.0,ENSG00000144381
ICAM1,0.04,1.0,ENSG00000090339
IRF8,0.01,1.0,ENSG00000140968
ARMH1,0.01,1.0,ENSG00000198520
ID1,0.03,1.0,ENSG00000125968
GADL1,0.04,0.75,ENSG00000144644
ID3,0.02,1.0,ENSG00000117318
ID4,0.02,1.0,ENSG00000172201
RSPO2,0.01,1.0,ENSG00000147655
BEX5,0.01,1.0,ENSG00000184515
IDH1,0.12,1.0,ENSG00000138413
IDH3A,0.01,1.0,ENSG00000166411
CFI,0.01,1.0,ENSG00000205403
IFIT2,0.01,1.0,ENSG00000119922
IFNAR1,0.01,1.0,ENSG00000142166
IFNG,0.08,1.0,ENSG00000111537
MACC1,0.06,1.0,ENSG00000183742
IGBP1,0.01,1.0,ENSG00000089289
SERINC2,0.01,1.0,ENSG00000168528
IGF1,0.07,1.0,ENSG00000017427
APOE,0.02,1.0,ENSG00000130203
IGF1R,0.1,1.0,ENSG00000140443
IGF2,0.02,1.0,ENSG00000167244
IGF2R,0.2,1.0,ENSG00000197081
IGFBP2,0.01,1.0,ENSG00000115457
IGFBP4,0.01,1.0,ENSG00000141753
IGFBP7,0.02,1.0,ENSG00000163453
APP,0.01,1.0,ENSG00000142192
FAS,0.02,1.0,ENSG00000026103
IKBKB,0.02,1.0,ENSG00000104365
IL1B,0.04,1.0,ENSG00000125538
IL2RA,0.01,1.0,ENSG00000134460
IL4,0.01,1.0,ENSG00000113520
IL6,0.1,1.0,ENSG00000136244
IL7,0.01,1.0,ENSG00000104432
IL7R,0.01,1.0,ENSG00000168685
CXCL8,0.06,1.0,ENSG00000169429
CXCR2,0.02,1.0,ENSG00000180871
AQP1,0.01,1.0,ENSG00000240583
IL10,0.03,1.0,ENSG00000136634
IL12RB2,0.02,1.0,ENSG00000081985
AQP3,0.02,1.0,ENSG00000165272
AQP4,0.33,1.0,ENSG00000171885
IMPDH2,0.3,1.0,ENSG00000178035
AQP5,0.01,1.0,ENSG00000161798
IDO1,0.05,1.0,ENSG00000131203
INHBA,0.02,1.0,ENSG00000122641
CXCL10,0.01,1.0,ENSG00000169245
INSR,0.01,1.0,ENSG00000171105
EIF3E,0.3,1.0,ENSG00000104408
ITGA6,0.01,1.0,ENSG00000091409
IREB2,0.11,1.0,ENSG00000136381
IRF1,0.01,1.0,ENSG00000125347
IRF3,0.03,1.0,ENSG00000126456
IRF4,0.11,1.0,ENSG00000137265
IRS1,0.02,1.0,ENSG00000169047
ISG20,0.01,1.0,ENSG00000172183
AR,0.02,1.0,ENSG00000169083
ITGB1,0.01,1.0,ENSG00000150093
ITGB2,0.01,1.0,ENSG00000160255
ARAF,0.41,1.0,ENSG00000078061
JAG2,0.01,1.0,ENSG00000184916
JAK1,0.03,1.0,ENSG00000162434
JAK2,0.08,1.0,ENSG00000096968
JUN,0.02,1.0,ENSG00000177606
JUNB,0.31,1.0,ENSG00000171223
JUND,0.01,1.0,ENSG00000130522
TRIM23,0.02,1.0,ENSG00000113595
GSTK1,0.02,1.0,ENSG00000197448
CD82,0.02,1.0,ENSG00000085117
AREG,0.01,1.0,ENSG00000109321
FAM111B,0.01,1.0,ENSG00000189057
MIGA1,0.1,1.0,ENSG00000180488
AGRN,0.01,1.0,ENSG00000188157
KCNK3,0.01,1.0,ENSG00000171303
KCNMA1,0.01,1.0,ENSG00000156113
KCNQ1,0.01,1.0,ENSG00000053918
KDR,0.36,1.0,ENSG00000128052
KIF2A,0.01,1.0,ENSG00000068796
KIF5B,0.1,1.0,ENSG00000170759
KIT,0.01,1.0,ENSG00000157404
ARG1,0.31,1.0,ENSG00000118520
KPNB1,0.01,1.0,ENSG00000108424
KPNA2,0.31,1.0,ENSG00000182481
IPO5,0.3,1.0,ENSG00000065150
KRAS,0.7,0.9670000000000001,ENSG00000133703
KRT5,0.02,1.0,ENSG00000186081
KRT7,0.06,0.833,ENSG00000135480
KRT8,0.11,1.0,ENSG00000170421
RHOA,0.11,1.0,ENSG00000067560
KRT17,0.01,1.0,ENSG00000128422
RHOB,0.01,1.0,ENSG00000143878
KRT19,0.05,1.0,ENSG00000171345
CAPN8,0.01,1.0,ENSG00000203697
SFTA2,0.11,1.0,ENSG00000196260
LAD1,0.01,1.0,ENSG00000159166
ACAT2,0.01,1.0,ENSG00000120437
LAMA2,0.01,1.0,ENSG00000196569
LAMA3,0.01,1.0,ENSG00000053747
LAMC2,0.01,1.0,ENSG00000058085
RPSA,0.33,1.0,ENSG00000168028
STMN1,0.05,1.0,ENSG00000117632
LCK,0.01,1.0,ENSG00000182866
LCN2,0.04,1.0,ENSG00000148346
LDHA,0.32,1.0,ENSG00000134333
LDHB,0.02,1.0,ENSG00000111716
LDLR,0.01,1.0,ENSG00000130164
LEPR,0.01,1.0,ENSG00000116678
LGALS1,0.06,1.0,ENSG00000100097
LGALS3,0.02,1.0,ENSG00000131981
ARHGDIA,0.01,1.0,ENSG00000141522
LGALS4,0.02,1.0,ENSG00000171747
LIFR,0.01,1.0,ENSG00000113594
LMNA,0.31,1.0,ENSG00000160789
LMNB1,0.3,1.0,ENSG00000113368
LOX,0.03,1.0,ENSG00000113083
LOXL1,0.01,1.0,ENSG00000129038
LOXL2,0.02,1.0,ENSG00000134013
LPL,0.01,1.0,ENSG00000175445
LPP,0.02,1.0,ENSG00000145012
LRP1,0.01,1.0,ENSG00000123384
LSAMP,0.01,1.0,ENSG00000185565
LTA,0.01,1.0,ENSG00000226979
LUM,0.02,1.0,ENSG00000139329
LYN,0.01,1.0,ENSG00000254087
TACSTD2,0.01,1.0,ENSG00000184292
EPCAM,0.04,1.0,ENSG00000119888
ARRB1,0.02,1.0,ENSG00000137486
MAD2L1,0.01,1.0,ENSG00000164109
SMAD2,0.04,1.0,ENSG00000175387
SMAD3,0.08,1.0,ENSG00000166949
SMAD4,0.14,1.0,ENSG00000141646
ARRB2,0.01,1.0,ENSG00000141480
SMAD5,0.01,1.0,ENSG00000113658
SMAD6,0.01,1.0,ENSG00000137834
MAFG,0.01,1.0,ENSG00000197063
MAP4,0.01,1.0,ENSG00000047849
MCL1,0.03,1.0,ENSG00000143384
MCM2,0.01,1.0,ENSG00000073111
MCM4,0.02,1.0,ENSG00000104738
MCM5,0.01,1.0,ENSG00000100297
CD46,0.01,1.0,ENSG00000117335
MDK,0.01,1.0,ENSG00000110492
MDM2,0.1,1.0,ENSG00000135679
MDM4,0.01,1.0,ENSG00000198625
MAP3K3,0.01,1.0,ENSG00000198909
MEN1,0.02,1.0,ENSG00000133895
MEST,0.04,1.0,ENSG00000106484
MET,0.1,1.0,ENSG00000105976
MELTF,0.01,1.0,ENSG00000163975
KITLG,0.01,1.0,ENSG00000049130
MGMT,0.04,1.0,ENSG00000170430
MGST1,0.01,1.0,ENSG00000008394
MID1,0.01,1.0,ENSG00000101871
MKI67,0.02,1.0,ENSG00000148773
ASCL1,0.05,1.0,ENSG00000139352
MLH1,0.33,1.0,ENSG00000076242
NR3C2,0.02,1.0,ENSG00000151623
MMP1,0.01,1.0,ENSG00000196611
MMP2,0.1,1.0,ENSG00000087245
MMP7,0.01,1.0,ENSG00000137673
MMP9,0.1,1.0,ENSG00000100985
MMP10,0.02,1.0,ENSG00000166670
MMP13,0.01,1.0,ENSG00000137745
MMP14,0.02,1.0,ENSG00000157227
MMP15,0.02,1.0,ENSG00000102996
MOCS2,0.01,1.0,ENSG00000164172
CD200,0.01,1.0,ENSG00000091972
MRC1,0.01,1.0,ENSG00000260314
MRE11,0.21,1.0,ENSG00000020922
ABCC1,0.04,1.0,ENSG00000103222
MSH2,0.02,1.0,ENSG00000095002
MSH3,0.3,1.0,ENSG00000113318
ASPH,0.01,1.0,ENSG00000198363
MSN,0.02,1.0,ENSG00000147065
MSR1,0.04,1.0,ENSG00000038945
MST1,0.01,1.0,ENSG00000173531
MT1G,0.01,1.0,ENSG00000125144
MTAP,0.1,1.0,ENSG00000099810
NUDT1,0.01,1.0,ENSG00000106268
MTHFR,0.02,1.0,ENSG00000177000
MTX1,0.1,1.0,ENSG00000173171
MUC1,0.1,1.0,ENSG00000185499
MUC4,0.07,1.0,ENSG00000145113
MUC5AC,0.03,1.0,ENSG00000215182
MUTYH,0.01,1.0,ENSG00000132781
MX2,0.01,1.0,ENSG00000183486
MYBL2,0.01,1.0,ENSG00000101057
MYC,0.5,1.0,ENSG00000136997
MYCL,0.02,1.0,ENSG00000116990
MYCN,0.01,1.0,ENSG00000134323
MYD88,0.01,1.0,ENSG00000172936
GADD45B,0.01,1.0,ENSG00000099860
ATF4,0.01,1.0,ENSG00000128272
CEACAM6,0.03,1.0,ENSG00000086548
NBN,0.01,1.0,ENSG00000104320
NCAM1,0.01,1.0,ENSG00000149294
NCBP1,0.01,1.0,ENSG00000136937
NCL,0.32,1.0,ENSG00000115053
ACLY,0.01,1.0,ENSG00000131473
NDUFC2,0.02,1.0,ENSG00000151366
ATM,0.4,0.9,ENSG00000149311
DRG1,0.01,1.0,ENSG00000185721
NEDD4,0.02,1.0,ENSG00000069869
RPL10A,0.3,1.0,ENSG00000198755
NEDD8,0.01,1.0,ENSG00000129559
NEDD9,0.03,1.0,ENSG00000111859
NEK2,0.02,1.0,ENSG00000117650
NELL2,0.01,1.0,ENSG00000184613
NEO1,0.01,1.0,ENSG00000067141
NF1,0.02,1.0,ENSG00000196712
NF2,0.02,1.0,ENSG00000186575
NFATC2,0.01,1.0,ENSG00000101096
NFE2L2,0.2,1.0,ENSG00000116044
NFIL3,0.01,1.0,ENSG00000165030
NFIX,0.01,1.0,ENSG00000008441
NNAT,0.01,1.0,ENSG00000053438
NME1,0.01,1.0,ENSG00000239672
NOS2,0.01,1.0,ENSG00000007171
NOS3,0.01,1.0,ENSG00000164867
NOTCH1,0.1,1.0,ENSG00000148400
NOTCH3,0.03,1.0,ENSG00000074181
NPM1,0.3,1.0,ENSG00000181163
NRAS,0.42,1.0,ENSG00000213281
YBX1,0.02,1.0,ENSG00000065978
NTRK1,0.02,1.0,ENSG00000198400
NTRK2,0.32,1.0,ENSG00000148053
NTRK3,0.31,1.0,ENSG00000140538
ROR1,0.03,1.0,ENSG00000185483
DDR2,0.31,1.0,ENSG00000162733
NTS,0.01,1.0,ENSG00000133636
CISD2,0.01,1.0,ENSG00000145354
OCA2,0.01,1.0,ENSG00000104044
ODC1,0.01,1.0,ENSG00000115758
OGG1,0.38,1.0,ENSG00000114026
OLR1,0.01,1.0,ENSG00000173391
OPCML,0.01,1.0,ENSG00000183715
OSM,0.03,1.0,ENSG00000099985
P2RY6,0.01,1.0,ENSG00000171631
PEBP1,0.01,1.0,ENSG00000089220
PAFAH1B1,0.01,1.0,ENSG00000007168
NOX4,0.01,1.0,ENSG00000086991
PRDX1,0.01,1.0,ENSG00000117450
SERPINE1,0.01,1.0,ENSG00000106366
PAK1,0.02,1.0,ENSG00000149269
GEMIN4,0.01,1.0,ENSG00000179409
PAM,0.01,1.0,ENSG00000145730
PRKN,0.02,1.0,ENSG00000185345
PAWR,0.01,1.0,ENSG00000177425
F11R,0.02,1.0,ENSG00000158769
TRAT1,0.01,1.0,ENSG00000163519
PCBD1,0.3,1.0,ENSG00000166228
FOXP3,0.05,1.0,ENSG00000049768
PCDH7,0.01,1.0,ENSG00000169851
NDUFA13,0.01,1.0,ENSG00000186010
POLR1D,0.3,1.0,ENSG00000186184
SH3GLB1,0.01,1.0,ENSG00000097033
PCNA,0.01,1.0,ENSG00000132646
RMDN1,0.01,1.0,ENSG00000176623
ING4,0.03,1.0,ENSG00000111653
PCNT,0.01,1.0,ENSG00000160299
DCTN4,0.1,1.0,ENSG00000132912
HSPA14,0.01,1.0,ENSG00000187522
CLDN18,0.06,1.0,ENSG00000066405
CRIM1,0.01,1.0,ENSG00000150938
GOLM1,0.31,1.0,ENSG00000135052
TLR7,0.01,1.0,ENSG00000196664
ATP5F1D,0.01,1.0,ENSG00000099624
FKBP11,0.3,1.0,ENSG00000134285
GASK1B,0.01,1.0,ENSG00000164125
PLAC8,0.01,1.0,ENSG00000145287
PDCD1,0.1,0.917,ENSG00000188389
PDCD2,0.01,1.0,ENSG00000071994
ZBTB7A,0.01,1.0,ENSG00000178951
UCHL5,0.01,1.0,ENSG00000116750
PDE4D,0.01,1.0,ENSG00000113448
ISYNA1,0.01,1.0,ENSG00000105655
DTL,0.01,1.0,ENSG00000143476
ANAPC11,0.01,1.0,ENSG00000141552
VTA1,0.01,1.0,ENSG00000009844
SIRT6,0.01,1.0,ENSG00000077463
GDE1,0.01,1.0,ENSG00000006007
PDGFRB,0.01,1.0,ENSG00000113721
NOP58,0.3,1.0,ENSG00000055044
ERGIC3,0.01,1.0,ENSG00000125991
PDK1,0.01,1.0,ENSG00000152256
SF3B6,0.02,1.0,ENSG00000115128
PDK2,0.01,1.0,ENSG00000005882
PTRH2,0.01,1.0,ENSG00000141378
GINS2,0.02,1.0,ENSG00000131153
PDK4,0.02,1.0,ENSG00000004799
MPC1,0.01,1.0,ENSG00000060762
CPSF3,0.01,1.0,ENSG00000119203
PECAM1,0.04,1.0,ENSG00000261371
SIX4,0.01,1.0,ENSG00000100625
PFKFB3,0.01,1.0,ENSG00000170525
PFN1,0.01,1.0,ENSG00000108518
PGR,0.03,1.0,ENSG00000082175
ABCB1,0.09,1.0,ENSG00000085563
SLC25A3,0.02,1.0,ENSG00000075415
SERPINA1,0.02,1.0,ENSG00000197249
PIK3CA,0.5,0.9790000000000001,ENSG00000121879
PIK3CB,0.1,1.0,ENSG00000051382
PIM1,0.01,1.0,ENSG00000137193
PIK3CD,0.1,1.0,ENSG00000171608
PIK3CG,0.1,1.0,ENSG00000105851
PIN1,0.01,1.0,ENSG00000127445
PKD2,0.01,1.0,ENSG00000118762
PKM,0.05,1.0,ENSG00000067225
PKNOX1,0.01,1.0,ENSG00000160199
PLA2G1B,0.01,1.0,ENSG00000170890
PLA2G2A,0.02,1.0,ENSG00000188257
PLAGL2,0.01,1.0,ENSG00000126003
PLAUR,0.01,1.0,ENSG00000011422
BCL11A,0.01,1.0,ENSG00000119866
IL17D,0.01,1.0,ENSG00000172458
LRP1B,0.02,1.0,ENSG00000168702
PLEC,0.01,1.0,ENSG00000178209
PLK1,0.06,1.0,ENSG00000166851
PLOD2,0.01,1.0,ENSG00000152952
PLS1,0.01,1.0,ENSG00000120756
PTOV1,0.01,1.0,ENSG00000104960
PMM2,0.01,1.0,ENSG00000140650
ACP5,0.01,1.0,ENSG00000102575
RIPK4,0.01,1.0,ENSG00000183421
PODXL,0.01,1.0,ENSG00000128567
ERRFI1,0.03,1.0,ENSG00000116285
POLE2,0.01,1.0,ENSG00000100479
SOX18,0.01,1.0,ENSG00000203883
TERF2IP,0.01,1.0,ENSG00000166848
GAR1,0.3,1.0,ENSG00000109534
ANLN,0.03,1.0,ENSG00000011426
PRR13,0.01,1.0,ENSG00000205352
ATR,0.32,1.0,ENSG00000175054
POU2AF1,0.01,1.0,ENSG00000110777
RBM47,0.02,1.0,ENSG00000163694
POU2F2,0.01,1.0,ENSG00000028277
DDIT4,0.01,1.0,ENSG00000168209
EPB41L4B,0.01,1.0,ENSG00000095203
EGLN1,0.01,1.0,ENSG00000135766
POU5F1,0.05,1.0,ENSG00000204531
PPA1,0.01,1.0,ENSG00000180817
TMEM106B,0.01,1.0,ENSG00000106460
CRLS1,0.01,1.0,ENSG00000088766
PPARG,0.07,0.7140000000000001,ENSG00000132170
MED1,0.01,1.0,ENSG00000125686
XAF1,0.01,1.0,ENSG00000132530
CTSA,0.01,1.0,ENSG00000064601
PPIA,0.01,1.0,ENSG00000196262
TRIT1,0.01,1.0,ENSG00000043514
GIPC2,0.1,1.0,ENSG00000137960
ZCCHC10,0.01,1.0,ENSG00000155329
ESRP1,0.01,1.0,ENSG00000104413
ALKBH5,0.01,1.0,ENSG00000091542
NCAPG2,0.01,1.0,ENSG00000146918
RNF43,0.01,1.0,ENSG00000108375
YTHDF1,0.01,1.0,ENSG00000149658
TESC,0.01,1.0,ENSG00000088992
PPP1R8,0.01,1.0,ENSG00000117751
PPP2CA,0.01,1.0,ENSG00000113575
CEP55,0.01,1.0,ENSG00000138180
RMDN3,0.01,1.0,ENSG00000137824
PPP2R1A,0.1,1.0,ENSG00000105568
ATAD3A,0.01,1.0,ENSG00000197785
PTPA,0.03,1.0,ENSG00000119383
PACC1,0.01,1.0,ENSG00000065600
IMP3,0.02,1.0,ENSG00000177971
FBXW7,0.14,1.0,ENSG00000109670
PPP3CA,0.3,1.0,ENSG00000138814
RNLS,0.1,1.0,ENSG00000184719
STRBP,0.3,1.0,ENSG00000165209
LAPTM4B,0.01,1.0,ENSG00000104341
MCM10,0.01,1.0,ENSG00000065328
SRGN,0.01,1.0,ENSG00000122862
SOX6,0.01,1.0,ENSG00000110693
SUPT20H,0.01,1.0,ENSG00000102710
ZCCHC8,0.01,1.0,ENSG00000033030
FERMT1,0.01,1.0,ENSG00000101311
KIF16B,0.01,1.0,ENSG00000089177
ASAP3,0.01,1.0,ENSG00000088280
PRKAA1,0.02,1.0,ENSG00000132356
PRKAA2,0.02,1.0,ENSG00000162409
DEPDC1,0.01,1.0,ENSG00000024526
SYBU,0.01,1.0,ENSG00000147642
PRKAB1,0.02,1.0,ENSG00000111725
ZNF692,0.01,1.0,ENSG00000171163
HIF1AN,0.01,1.0,ENSG00000166135
CEP72,0.01,1.0,ENSG00000112877
PRKAR1A,0.02,1.0,ENSG00000108946
PRKCA,0.04,1.0,ENSG00000154229
CMTR2,0.31,1.0,ENSG00000180917
AXL,0.06,1.0,ENSG00000167601
PRKCD,0.01,1.0,ENSG00000163932
KDM3A,0.01,1.0,ENSG00000115548
PAG1,0.02,1.0,ENSG00000076641
PRKCI,0.02,1.0,ENSG00000163558
EAF2,0.01,1.0,ENSG00000145088
ACOT13,0.01,1.0,ENSG00000112304
BEX1,0.01,1.0,ENSG00000133169
ACTR10,0.02,1.0,ENSG00000131966
PRKD1,0.01,1.0,ENSG00000184304
PBK,0.02,1.0,ENSG00000168078
LMO3,0.02,1.0,ENSG00000048540
PRKCZ,0.03,1.0,ENSG00000067606
PRKDC,0.31,1.0,ENSG00000253729
RCC2,0.01,1.0,ENSG00000179051
APOM,0.1,1.0,ENSG00000204444
MAPK1,0.1,1.0,ENSG00000100030
MAPK3,0.04,1.0,ENSG00000102882
SULF2,0.01,1.0,ENSG00000196562
MAPK4,0.01,1.0,ENSG00000141639
MAPK8,0.05,1.0,ENSG00000107643
MYDGF,0.02,1.0,ENSG00000074842
MAPK9,0.01,1.0,ENSG00000050748
MAP2K1,0.65,0.857,ENSG00000169032
MAP2K3,0.01,1.0,ENSG00000034152
MAP2K7,0.1,1.0,ENSG00000076984
PCDHGB6,0.01,1.0,ENSG00000253305
PRNP,0.01,1.0,ENSG00000171867
ZNF253,0.01,1.0,ENSG00000256771
KIAA1217,0.01,1.0,ENSG00000120549
BEX4,0.02,1.0,ENSG00000102409
AZGP1,0.01,1.0,ENSG00000160862
METTL3,0.01,1.0,ENSG00000165819
PPAN,0.3,1.0,ENSG00000130810
CCL28,0.02,1.0,ENSG00000151882
HTRA1,0.01,1.0,ENSG00000166033
PRTN3,0.01,1.0,ENSG00000196415
PSD,0.01,1.0,ENSG00000059915
TMPRSS4,0.03,1.0,ENSG00000137648
B2M,0.1,1.0,ENSG00000166710
RETN,0.02,1.0,ENSG00000104918
PSMA7,0.01,1.0,ENSG00000101182
LXN,0.01,1.0,ENSG00000079257
PMEPA1,0.01,1.0,ENSG00000124225
ARNTL2,0.01,1.0,ENSG00000029153
MFF,0.01,1.0,ENSG00000168958
OTUD7B,0.01,1.0,ENSG00000264522
CHPT1,0.01,1.0,ENSG00000111666
SLC12A9,0.03,1.0,ENSG00000146828
CTNNBIP1,0.01,1.0,ENSG00000178585
ACKR3,0.02,1.0,ENSG00000144476
AKR1B10,0.04,0.75,ENSG00000198074
PCBP4,0.02,1.0,ENSG00000090097
PSMD2,0.02,1.0,ENSG00000175166
PCNP,0.01,1.0,ENSG00000081154
TIGAR,0.01,1.0,ENSG00000078237
CAMK1D,0.01,1.0,ENSG00000183049
GOPC,0.01,1.0,ENSG00000047932
PSMD7,0.01,1.0,ENSG00000103035
PELI1,0.01,1.0,ENSG00000197329
ACTR3B,0.02,1.0,ENSG00000133627
ADGRG6,0.01,1.0,ENSG00000112414
PTEN,0.1,1.0,ENSG00000171862
BAG1,0.01,1.0,ENSG00000107262
RHOJ,0.01,1.0,ENSG00000126785
S100A14,0.03,1.0,ENSG00000189334
SPC25,0.01,1.0,ENSG00000152253
PTGS2,0.1,0.9570000000000001,ENSG00000073756
PTHLH,0.02,1.0,ENSG00000087494
SLC12A5,0.01,1.0,ENSG00000124140
PTK2,0.02,1.0,ENSG00000169398
ESYT2,0.01,1.0,ENSG00000117868
ARID1B,0.01,1.0,ENSG00000049618
MRTFB,0.01,1.0,ENSG00000186260
KIDINS220,0.01,1.0,ENSG00000134313
MIB1,0.01,1.0,ENSG00000101752
PTK7,0.03,1.0,ENSG00000112655
TAOK1,0.01,1.0,ENSG00000160551
TWF1,0.01,1.0,ENSG00000151239
SH3RF1,0.01,1.0,ENSG00000154447
PTN,0.02,1.0,ENSG00000105894
CIP2A,0.03,1.0,ENSG00000163507
TRIB3,0.02,1.0,ENSG00000101255
CCAR2,0.01,1.0,ENSG00000158941
PTPN11,0.12,1.0,ENSG00000179295
PTPN13,0.01,1.0,ENSG00000163629
PTPRB,0.01,1.0,ENSG00000127329
PTPRC,0.01,1.0,ENSG00000081237
PTPRG,0.02,1.0,ENSG00000144724
BAX,0.01,1.0,ENSG00000087088
PVR,0.01,1.0,ENSG00000073008
PXN,0.03,1.0,ENSG00000089159
PYCR1,0.03,1.0,ENSG00000183010
ALDH18A1,0.3,1.0,ENSG00000059573
OVOL2,0.01,1.0,ENSG00000125850
RAB5A,0.01,1.0,ENSG00000144566
RAB27B,0.01,1.0,ENSG00000041353
RAC1,0.05,1.0,ENSG00000129538
RAC3,0.02,1.0,ENSG00000169750
RAD9A,0.03,1.0,ENSG00000172613
RAD51,0.01,1.0,ENSG00000051180
RAD51B,0.1,1.0,ENSG00000182185
MOK,0.03,1.0,ENSG00000080823
RAD52,0.02,1.0,ENSG00000002016
RAF1,0.43,1.0,ENSG00000132155
ACTA2,0.01,1.0,ENSG00000107796
BCHE,0.01,1.0,ENSG00000114200
RAP1A,0.01,1.0,ENSG00000116473
RASA1,0.32,1.0,ENSG00000145715
RASGRF1,0.01,1.0,ENSG00000058335
RBBP8,0.01,1.0,ENSG00000101773
RBL2,0.01,1.0,ENSG00000103479
RBM3,0.02,1.0,ENSG00000102317
LGR6,0.01,1.0,ENSG00000133067
CCND1,0.1,1.0,ENSG00000110092
BCL2,0.1,1.0,ENSG00000171791
RDX,0.02,1.0,ENSG00000137710
RELA,0.03,1.0,ENSG00000173039
RELB,0.02,1.0,ENSG00000104856
RFC3,0.01,1.0,ENSG00000133119
RFC4,0.31,1.0,ENSG00000163918
BCL2L2,0.01,1.0,ENSG00000129473
ACTB,0.06,1.0,ENSG00000075624
RIT1,0.02,1.0,ENSG00000143622
ABCE1,0.03,1.0,ENSG00000164163
KCNK15,0.01,1.0,ENSG00000124249
MIIP,0.01,1.0,ENSG00000116691
TNFRSF17,0.01,1.0,ENSG00000048462
ROBO1,0.01,1.0,ENSG00000169855
ROCK1,0.02,1.0,ENSG00000067900
ROS1,0.7,1.0,ENSG00000047936
RPL17,0.01,1.0,ENSG00000265681
RPL19,0.01,1.0,ENSG00000108298
RPL27A,0.3,1.0,ENSG00000166441
RPL36A,0.33,1.0,ENSG00000241343
MRPL12,0.3,1.0,ENSG00000262814
RPS6,0.01,1.0,ENSG00000137154
RPS6KA1,0.01,1.0,ENSG00000117676
RPS6KB1,0.01,1.0,ENSG00000108443
RPS15A,0.01,1.0,ENSG00000134419
RPS19,0.01,1.0,ENSG00000105372
RRAD,0.01,1.0,ENSG00000166592
RRAS,0.01,1.0,ENSG00000126458
RREB1,0.01,1.0,ENSG00000124782
RRM1,0.3,1.0,ENSG00000167325
RRM2,0.31,1.0,ENSG00000171848
RTKN,0.01,1.0,ENSG00000114993
BDNF,0.02,1.0,ENSG00000176697
S100A1,0.01,1.0,ENSG00000160678
S100A2,0.02,1.0,ENSG00000196754
S100A4,0.03,1.0,ENSG00000196154
S100A8,0.01,1.0,ENSG00000143546
S100A9,0.06,1.0,ENSG00000163220
S100A11,0.01,1.0,ENSG00000163191
S100B,0.02,1.0,ENSG00000160307
S100P,0.01,1.0,ENSG00000163993
CFB,0.1,1.0,ENSG00000243649
